某,2
柏,46
柄,53
枸,1
枷,10
架,169
枰,2
枯,55
枭,3
枫,7
枪,199
枣,24
枢,4
枝,97
果,889
枚,12
林,250
枕,17
枓,1
枒,5
枋,1
枉,45
枇,2
极,106
板,54
松,250
杻,1
杷,2
杵,32
杳,8
杲,2
杰,18
杯,98
杭,1
杪,1
杨,48
来,5994
条,331
杠,3
束,113
杞,1
杜,11
杖,201
杓,4
村,77
材,21
杏,28
李,312
杌,1
杉,1
杈,1
杆,25
权,39
杂,39
杀,384
朽,9
机,67
朵,101
朴,4
朱,75
术,41
札,28
本,679
末,10
未,384
木,291
朦,24
期,109
朝,567
望,438
朗,36
朕,136
朔,14
服,198
朋,25
有,4488
月,399
最,47
替,86
曾,715
曼,3
曹,71
更,418
曳,4
曲,55
曰,226
曜,28
曛,1
曙,2
暴,35
暮,17
暨,3
暧,1
暗,335
暖,38
暑,27
暇,7
暄,1
暂,20
晾,3
智,50
晶,27
晴,28
晰,1
景,111
普,64
晨,8
晦,45
晤,4
晡,2
晚,223
晖,3
晕,12
晓,203
晒,27
晏,9
晌,19
晋,4
晃,19
显,152
昼,51
昴,13
是,6498
昭,12
昨,101
昧,24
春,148
映,62
星,499
昙,2
昔,20
易,71
昏,148
明,710
昌,4
昊,1
昆,24
昂,64
旻,2
旺,5
旷,11
时,1623
旱,16
旭,1
旬,3
早,608
旨,320
旧,151
旦,7
日,1374
既,380
无,1764
旗,103
旒,1
族,26
旌,30
旋,35
旅,11
旄,3
旃,6
旁,220
施,239
方,1094
新,113
斯,30
断,189
斫,2
斩,56
斧,64
斤,49
斟,33
斝,1
斜,41
斛,1
料,60
斗,465
斓,10
斑,30
斋,418
文,401
敷,4
整,190
敲,66
数,388
敬,73
敧,9
敦,3
散,245
敢,724
敞,7
敝,11
敛,24
教,1019
敖,46
敕,39
救,580
敏,2
敌,104
效,7
故,369
政,7
放,779
攻,31
改,66
攸,5
收,549
支,41
攥,6
